Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Drosophila melanogaster	143.706478	143.706478	143.706478	143.706478	0.0	1	42.0	42.0	42.0	42.0	0	1	13962	13962	13962	13962	0	1	7227
Homo sapiens	3099.441038	3117.275501	3108.3582695	3108.3582695	12.610869726120578	2	41.0	41.0	41.0	41.0	0.0	2	20070	20076	20073.0	20073	4.242640687119285	2	9606
Mus musculus	2728.206152	2728.206152	2728.206152	2728.206152	0.0	1	42.0	42.0	42.0	42.0	0	1	22198	22198	22198	22198	0	1	10090
Arabidopsis thaliana	119.146348	119.146348	119.146348	119.146348	0.0	1	36.0	36.0	36.0	36.0	0	1	27562	27562	27562	27562	0	1	3702
Aplysia californica	927.296314	927.296314	927.296314	927.296314	0.0	1	40.5	40.5	40.5	40.5	0	1	19405	19405	19405	19405	0	1	6500
Strongylocentrotus purpuratus	921.840143	921.840143	921.840143	921.840143	0.0	1	37.5	37.5	37.5	37.5	0	1	27447	27447	27447	27447	0	1	7668
Canis lupus familiaris	2312.785471	2481.983352	2396.858295	2397.2090393333333	84.59948581352646	3	41.0	41.5	41.5	41.333333333333336	0.28867513459481287	3	20087	21175	20949	20737	574.1463228132703	3	9615
Plasmodium vivax	27.007701	27.007701	27.007701	27.007701	0.0	1	42.5	42.5	42.5	42.5	0	1	5392	5392	5392	5392	0	1	5855
Physcomitrium patens	471.971527	471.971527	471.971527	471.971527	0.0	1	33.5	33.5	33.5	33.5	0	1	21535	21535	21535	21535	0	1	3218
Giardia duodenalis	12.078186	12.078186	12.078186	12.078186	0.0	1	49.5	49.5	49.5	49.5	0	1	4965	4965	4965	4965	0	1	5741
Trypanosoma brucei brucei TREU927	26.075494	26.075494	26.075494	26.075494	0.0	1	46.5	46.5	46.5	46.5	0	1	8758	8758	8758	8758	0	1	185431
Bigelowiella natans	0.37287	0.37287	0.37287	0.37287	0.0	1	28.5	28.5	28.5	28.5	0	1	344	344	344	344	0	1	227086
Pyricularia oryzae 70-15	40.979121	40.979121	40.979121	40.979121	0.0	1	51.5	51.5	51.5	51.5	0	1	12825	12825	12825	12825	0	1	242507
Kluyveromyces lactis	10.689156	10.689156	10.689156	10.689156	0.0	1	39.0	39.0	39.0	39.0	0	1	5084	5084	5084	5084	0	1	28985
Chlamydomonas reinhardtii	111.098438	111.098438	111.098438	111.098438	0.0	1	64.0	64.0	64.0	64.0	0	1	17742	17742	17742	17742	0	1	3055
Aspergillus fumigatus Af293	29.384958	29.384958	29.384958	29.384958	0.0	1	50.0	50.0	50.0	50.0	0	1	9823	9823	9823	9823	0	1	330879
Aspergillus clavatus NRRL 1	27.859441	27.859441	27.859441	27.859441	0.0	1	49.0	49.0	49.0	49.0	0	1	9117	9117	9117	9117	0	1	344612
Leishmania major strain Friedlin	32.855089	32.855089	32.855089	32.855089	0.0	1	59.5	59.5	59.5	59.5	0	1	8316	8316	8316	8316	0	1	347515
Plasmodium falciparum 3D7	23.292622	23.292622	23.292622	23.292622	0.0	1	19.5	19.5	19.5	19.5	0	1	5282	5282	5282	5282	0	1	36329
Populus trichocarpa	392.162179	392.162179	392.162179	392.162179	0.0	1	34.0	34.0	34.0	34.0	0	1	29617	29617	29617	29617	0	1	3694
Leishmania braziliensis MHOM/BR/75/M2904	32.068771	32.068771	32.068771	32.068771	0.0	1	58.0	58.0	58.0	58.0	0	1	8160	8160	8160	8160	0	1	420245
Aspergillus niger	33.975768	33.975768	33.975768	33.975768	0.0	1	50.5	50.5	50.5	50.5	0	1	14058	14058	14058	14058	0	1	5061
Monosiga brevicollis MX1	41.63336	41.63336	41.63336	41.63336	0.0	1	55.0	55.0	55.0	55.0	0	1	9202	9202	9202	9202	0	1	431895
